sampleid,oils,ketones,acetate,phenols,quantity0,soluble_mixture,length,maceration time,quantity1,ingredient1,ingredient0,soluble_components,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,quantity2,quantity3,quantity4,quantity5,quantity6,quantity7,quantity8,quantity9,quantity10,quantity11,quantity12,quantity13,quantity14,quantity15,quantity16,quantity17,PROPERTY:Diffusion Rate (10^6),PROPERTY: Staining Factor,PROPERTY: color wavelength,PROPERTY: color,PROPERTY: Survey Results
PER80-597,7,2,1,3,80.93,19.07,13,13,12.48,WATER,ETHYL ALCOHOL,6.59,HELICHRYSUM STOECHAS FLOWER OIL,IRIS PALLIDA ROOT OIL,ORMENIS MULTICAULIS FLOWER OIL,CITRUS NOBILIS LEAF OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,CYMBOPOGON NARDUS HERB OIL,RAVENSARA AROMATICA TWIG OIL,DIMETHYL PHENYLETHYL CARBINYL ACETATE,GAMMA-NONALACTONE,METHOXYPHENYL-METHYLBUTANONE,P-CRESOL,AMYL ALCOHOL,BETA-METHYL-CYCLODODECANEETHANOL,,,,0.330918221,0.595652798,0.633472023,0.397101865,0.71856528,0.869842181,0.832022956,0.028364419,0.085093257,0.879296987,0.037819225,0.737474892,0.444375897,,,,5823.4948,0.48,542.03364,green,53
PER28-101,2,1,0,1,80.9,19.1,4,53,12.5,WATER,ETHYL ALCOHOL,6.6,PELARGONIUM CRISPUM LEAF OIL,PIMENTA OFFICINALIS FRUIT OIL,3-BUTENYL PHENYL KETONE,2-DECENOL,,,,,,,,,,,,,1.114285714,2.742857143,0.685714286,2.057142857,,,,,,,,,,,,,5831.135638,0.53,541.9221813,green,72
PER37-260,6,3,2,0,80.91,19.09,11,29,12.49,WATER,ETHYL ALCOHOL,6.6,STYRAX BENZOIN RESIN OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,VITIS VINIFERA OIL,CITRUS AURANTIUM LEAF OIL,RAVENSARA AROMATICA TWIG OIL,TRIMETHYLDODECATRIEN-3-YL ACETATE,BENZYL ACETATE,5-METHYL-2-HEPTEN-4-ONE,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,ISOPROPYL-METHYLBICYCLOHEXANONE,,,,,,1.082608696,0.169565217,0.926086957,0.769565217,0.013043478,0.534782609,0.730434783,0.247826087,0.508695652,0.834782609,0.782608696,,,,,,5837.277,0.61,541.02,green,29
PER58-620,7,3,1,3,80.89,19.11,14,63,12.51,WATER,ETHYL ALCOHOL,6.6,IRIS PALLIDA ROOT OIL,THUJA OCCIDENTALIS STEM OIL,ARTEMISIA HERBA-ALBA HERB OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,RAVENSARA AROMATICA TWIG OIL,THUJA PLICATA LEAF OIL,P-ANISYL PHENYLACETATE,CARVONE,"6-ETHYLIDENEOCTAHYDRO-5,8-METHANO-2H-1-BENZOPYRAN-2-ONE",2-FURYL METHYL KETONE,3-ETHYLPHENOL,"ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",2-METHYLFURAN-3-THIOL,,,0.009230769,0.433846154,0.738461538,0.48,0.295384615,0.304615385,0.489230769,0.378461538,0.341538462,0.553846154,0.443076923,0.618461538,0.867692308,0.646153846,,,5841.644118,0.34,540.1881403,green,23
PER45-130,2,3,1,2,80.81,19.19,8,64,12.55,WATER,ETHYL ALCOHOL,6.64,LAVANDULA SPICA HERB OIL,THUJA PLICATA LEAF OIL,P-ANISYL PHENYLACETATE,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,DELTA-UNDECALACTONE,CARVONE,BETA-METHYL-CYCLODODECANEETHANOL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,,,,,,,,,0.323902439,1.241626016,0.593821138,1.066178862,0.283414634,0.796260163,1.255121951,1.079674797,,,,,,,,,5842.05851,0.54,540.1392699,green,46
PER22-387,5,2,0,3,80.81,19.19,10,82,12.55,WATER,ETHYL ALCOHOL,6.64,THUJOPSIS DOLABRATA LEAF OIL,CITRUS NOBILIS LEAF OIL,PINUS PALUSTRIS TWIG LEAF OIL,ORMENIS MULTICAULIS FLOWER OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,ETHYL PROPYL KETONE,BUTYROPHENONE,PINACOL,GERANIOL,TRIMETHYL-2-CYCLOHEXENOL,,,,,,,0.801015873,0.274031746,0.864253968,0.316190476,1.686349206,0.906412698,0.421587302,0.463746032,0.295111111,0.611301587,,,,,,,5842.42,0.72,540.09,green,47
PER20-417,7,1,2,2,80.82,19.18,12,46,12.54,WATER,ETHYL ALCOHOL,6.64,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,LAVANDULA SPICA HERB OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,VERBENA OFFICINALIS LEAF RECTIFIED OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,TRANS-3-HEPTENYL ACETATE,ETHYL PHENYLACETATE,METHOXYPHENYL-METHYLBUTANONE,CARVACROL,DIPROPYLENE GLYCOL,,,,,0.641103448,0.286206897,1.087586207,0.171724138,1.018896552,0.011448276,0.103034483,1.121931034,0.675448276,0.892965517,0.148827586,0.480827586,,,,,5846.98,0.4,539.8893,green,26
PER32-381,5,1,0,3,80.79,19.21,9,49,12.56,WATER,ETHYL ALCOHOL,6.65,EUCALYPTUS SPECIES LEAF OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,COMMIPHORA ABYSSINICA GUM OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,STYRAX TONKINENSIS RESIN OIL,CYCLOHEXYLIDENECYCLOHEXANONE,"ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,CARVACROL,,,,,,,,0.787699317,0.939179954,0.348405467,0.575626424,1.075512528,1.287585421,0.242369021,0.636218679,0.757403189,,,,,,,,5848.032862,0.4,539.4529413,green,87
PER16-126,6,1,1,3,80.8,19.2,11,24,12.55,WATER,ETHYL ALCOHOL,6.65,STYRAX BENZOIN RESIN OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,IRIS PALLIDA ROOT OIL,COMMIPHORA MYRRHA GUM OIL,CYPERUS SCARIOSUS ROOT OIL,EUCALYPTUS SPECIES LEAF OIL,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,AMYLCYCLOPENTANONE,2-DODECENOL,DIMETHYLPHENYL CARBINOL,AMYL ALCOHOL,,,,,,0.90637037,0.857111111,0.620666667,0.600962963,0.009851852,0.147777778,0.522148148,0.837407407,0.788148148,0.64037037,0.719185185,,,,,,5850.14,0.52,539.392925,green,51
PER47-182,4,2,1,2,80.77,19.23,9,78,12.57,WATER,ETHYL ALCOHOL,6.66,MYROCARPUS FRONDOSUS WOOD OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,VERBENA OFFICINALIS LEAF RECTIFIED OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,METHYL CYCLOPENTYLIDENEACETATE,1-ACETONAPHTHONE,GAMMA-CAPROLACTONE,"ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",2-METHYLFURAN-3-THIOL,,,,,,,,0.36,0.84,0.24,0.99,1.35,0.9,0.135,1.365,0.48,,,,,,,,5851.356084,0.57,539.27,green,34
PER92-342,6,3,2,2,80.75,19.25,13,27,12.58,WATER,ETHYL ALCOHOL,6.67,VITIS VINIFERA OIL,PELARGONIUM CRISPUM LEAF OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,ANETHUM SOWA SEED OIL,SANTALUM SPICATA WOOD OIL,ISOPENTYL CYCLOHEXYL ACETATE,ISOPROPYL-METHYLHEXENYL ACETATE,4-METHYLPENT-3-EN-2-ONE,3-BUTYL-4-METHYLPHENYL METHYL KETONE,METHYL THIAZOLYL KETONE,PINACOL,TETRAMETHYL-HEXADECATETRAEN-3-OL,,,,0.606363636,0.218688525,0.188867362,0.556661699,0.864813711,0.745529061,0.019880775,0.884694486,0.735588674,0.984098361,0.506959762,0.129225037,0.228628912,,,,5857.127198,0.55,539.255745,green,81
PER61-1,7,3,0,0,80.68,19.32,10,37,12.62,WATER,ETHYL ALCOHOL,6.7,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,STYRAX TONKINENSIS RESIN OIL,THUJA OCCIDENTALIS STEM OIL,IRIS PALLIDA ROOT OIL,COMMIPHORA ABYSSINICA GUM OIL,FOENICULUM VULGARE VULGARE FRUIT OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,METHOXYPHENYL-METHYLBUTANONE,2-FURYL METHYL KETONE,TRANS-5-OCTENONE,,,,,,,0.536,0.2144,0.8576,0.82544,0.9648,0.93264,0.83616,0.68608,0.79328,0.0536,,,,,,,5860.29835,0.5,539.194375,green,40
PER70-625,7,1,0,0,80.66,19.34,8,16,12.63,WATER,ETHYL ALCOHOL,6.71,THUJOPSIS DOLABRATA LEAF OIL,STYRAX TONKINENSIS RESIN OIL,COMMIPHORA ABYSSINICA GUM OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,COMMIPHORA MYRRHA GUM OIL,FOENICULUM VULGARE FRUIT OIL ,CYMBOPOGON NARDUS HERB OIL,NEOHESPERIDIN DIHYDROCHALCONE,,,,,,,,,1.072687075,1.392210884,0.068469388,0.205408163,1.803027211,1.141156463,0.31952381,0.707517007,,,,,,,,,5863.175,0.53,539.0967019,green,55
PER26-568,5,0,0,2,80.6,19.4,7,16,12.67,WATER,ETHYL ALCOHOL,6.73,PINUS MUGO PUMILIO TWIG LEAF OIL,PINUS PALUSTRIS TWIG LEAF OIL,LAVANDULA SPICA HERB OIL,THUJA PLICATA LEAF OIL,STYRAX BENZOIN RESIN OIL,TETRAMETHYL-4-METHYLENE-2-HEPTANOL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,,,,,,,,,,0.207076923,0.227784615,1.905107692,1.780861538,0.2692,0.393446154,1.946523077,,,,,,,,,,5869.6814,0.52,539.0414013,green,58
PER100-331,6,3,1,0,80.56,19.44,10,74,12.69,WATER,ETHYL ALCOHOL,6.75,ARNICA MONTANA FLOWER OIL,ARTEMISIA HERBA-ALBA HERB OIL,CYPERUS SCARIOSUS ROOT OIL,STYRAX TONKINENSIS RESIN OIL,ORMENIS MULTICAULIS FLOWER OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,M-CRESYL ACETATE,HEXENYLDIHYDROMETHYLFURANONE,NEOHESPERIDIN DIHYDROCHALCONE,CYCLOHEXYLIDENECYCLOHEXANONE,,,,,,,0.148203593,1.118263473,0.646706587,0.390718563,1.306886228,0.72754491,0.943113772,0.350299401,0.431137725,0.687125749,,,,,,,5877.907,0.49,538.86,green,47
PER2-46,3,2,1,2,80.57,19.43,8,20,12.68,WATER,ETHYL ALCOHOL,6.75,THYMUS SERPILLUM OIL,PELARGONIUM CRISPUM LEAF OIL,COMMIPHORA SCHIMPERI GUM OIL,DIMETHYLBUTYL ACETATE,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,HEXENYLDIHYDROMETHYLFURANONE,ISOPROPYLCYCLOHEXANOL,ISOBUTYL LINALOOL,,,,,,,,,0.062068966,1.489655172,0.962068966,1.24137931,0.201724138,0.636206897,1.536206897,0.620689655,,,,,,,,,5885.327856,0.57,538.670925,green,37
PER35-47,4,3,2,0,80.55,19.45,9,77,12.69,WATER,ETHYL ALCOHOL,6.76,THUJA PLICATA LEAF OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,ARNICA MONTANA FLOWER OIL,JUNIPERUS MEXICANA WOOD OIL,ISOPENTYL CYCLOHEXYL ACETATE,A-TERPINYL ACETATE,GAMMA-NONALACTONE,HYDROXYCITRONELLAL DIMETHYL ACETAL,DIMETHYLCYCLOHEXYL METHYL KETONE,,,,,,,,0.44492569,0.932908705,1.133842887,0.660212314,0.114819533,1.105138004,1.363481953,0.287048832,0.717622081,,,,,,,,5885.48,0.62,538.4755338,green,40
PER96-519,7,2,2,3,80.51,19.49,14,86,12.71,WATER,ETHYL ALCOHOL,6.78,THYMUS SERPILLUM OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,THUJOPSIS DOLABRATA LEAF OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,EUCALYPTUS SPECIES LEAF OIL,COMMIPHORA SCHIMPERI GUM OIL,SANTALUM SPICATA WOOD OIL,METHYLCYCLOHEXENYL-BUTENYL ACETATE,5-MELOZOL ACETATE,HEXENYLCYCLOPENTANONE,TRANS-ROSE KETONE-5,ISOBUTYL LINALOOL,METHYLOCTENOL,AMYL ALCOHOL,,,0.016865672,0.455373134,0.784253731,0.438507463,0.683059701,0.210820896,0.185522388,0.497537313,0.565,0.758955224,0.699925373,0.354179104,0.548134328,0.581865672,,,5886.08,0.73,538.2659056,green,26
PER73-601,6,3,1,2,80.43,19.57,12,39,12.76,WATER,ETHYL ALCOHOL,6.81,FOENICULUM VULGARE VULGARE FRUIT OIL,MELILOTUS OFFICINALIS HERB OIL,LAVANDULA SPICA HERB OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,10-UNDECENYL ACETATE,DELTA-UNDECALACTONE,3-BUTYL-4-METHYLPHENYL METHYL KETONE,PENTAMETHYL-CYCLOPENT-1-ENYL METHYL KETONE,BETA-METHYL-CYCLODODECANEETHANOL,SANTALOL,,,,,0.578753541,0.405127479,0.540169972,0.173626062,0.096458924,0.337606232,0.675212465,0.771671388,0.906713881,0.742733711,0.65592068,0.926005666,,,,,5891.63415,0.6,538.1926,green,42
PER44-296,6,1,1,2,80.4,19.6,10,86,12.78,WATER,ETHYL ALCOHOL,6.82,EUCALYPTUS SPECIES LEAF OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,FOENICULUM VULGARE FRUIT OIL ,PELARGONIUM CRISPUM LEAF OIL,BAROSMA BETULINA LEAF OIL,THUJA PLICATA LEAF OIL,ETHYL MYRISTATE,4-METHYL-4-PHENYL-2-PENTANONE,P-CRESOL,METHOXY-METHYLBUTANETHIOL,,,,,,,0.906848816,0.223606557,0.385100182,1.167723133,0.60870674,0.149071038,1.093187614,0.782622951,0.372677596,1.130455373,,,,,,,5895.589412,0.62,538.0785691,green,41
PER27-529,4,3,0,2,80.38,19.62,9,74,12.79,WATER,ETHYL ALCOHOL,6.83,SANTALUM SPICATA WOOD OIL,ARNICA MONTANA FLOWER OIL,ROSMARINUS OFFICINALIS FLOWER OIL,FOENICULUM VULGARE FRUIT OIL ,4-METHYLPENT-3-EN-2-ONE,ISOPROPYL-METHYLBICYCLOHEXANONE,HYDROXYCITRONELLAL DIMETHYL ACETAL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,TETRAMETHYL-HEXADECATETRAEN-3-OL,,,,,,,,0.66664825,1.069152855,1.169779006,0.968526703,0.402504604,0.377348066,0.125782689,0.842744015,1.207513812,,,,,,,,5895.984085,0.45,538.0425,green,46
PER94-584,4,0,2,3,80.33,19.67,9,85,12.81,WATER,ETHYL ALCOHOL,6.86,STYRAX BENZOIN RESIN OIL,HELICHRYSUM STOECHAS FLOWER OIL,CITRUS AURANTIUM LEAF OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,TRIMETHYLDODECATRIEN-3-YL ACETATE,RHODINYL ACETATE,BETA-PINEN-3-OL,TETRAMETHYL-HEXADECATETRAEN-3-OL,"6,8-DIMETHYL-2-NONANOL",,,,,,,,0.762222222,1.27037037,1.171563786,0.437572016,0.536378601,1.086872428,0.310534979,0.861028807,0.42345679,,,,,,,,5896.635,0.49,537.931958,green,24
PER91-201,4,2,2,1,80.25,19.75,9,22,12.86,WATER,ETHYL ALCOHOL,6.89,PELARGONIUM CRISPUM LEAF OIL,ORMENIS MULTICAULIS FLOWER OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,ETHYL PALMITATE,METHYL CYCLOPENTYLIDENEACETATE,HEXENYLDIHYDROMETHYLFURANONE,TRANS-5-METHYL-2-HEPTEN-4-ONE,TETRAMETHYL-HEXADECATETRAEN-3-OL,,,,,,,,1.100979381,0.390670103,0.461701031,1.509407216,0.834613402,0.870128866,0.159819588,0.745824742,0.81685567,,,,,,,,5901.082,0.45,537.8260722,green,24
PER16-168,7,1,0,0,80.2,19.8,8,37,12.89,WATER,ETHYL ALCOHOL,6.91,MELILOTUS OFFICINALIS HERB OIL,PINUS PALUSTRIS TWIG LEAF OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,THUJA OCCIDENTALIS STEM OIL,VITIS VINIFERA OIL,THYMUS SERPILLUM OIL,MYROCARPUS FRONDOSUS WOOD OIL,GAMMA-CAPROLACTONE,,,,,,,,,1.065177866,1.092490119,0.614525692,1.283675889,0.259466403,0.587213439,0.873992095,1.133458498,,,,,,,,,5904.149,0.66,537.38,green,41
PER80-513,7,2,0,4,80.18,19.82,13,39,12.9,WATER,ETHYL ALCOHOL,6.92,PELARGONIUM CRISPUM LEAF OIL,THYMUS SERPILLUM OIL,ORMENIS MULTICAULIS FLOWER OIL,CITRUS AURANTIUM LEAF OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,ANETHUM SOWA SEED OIL,LEVISTICUM OFFICINALE LEAF OIL,GAMMA-CAPROLACTONE,ETHYL PROPYL KETONE,SANTALOL,2-METHYLBUTANE-2-THIOL,GUAIACOL,2-METHYLFURAN-3-THIOL,,,,0.105007587,0.787556904,1.039575114,0.273019727,0.567040971,0.178512898,0.546039454,0.525037936,0.08400607,0.808558422,0.640546282,0.703550835,0.6615478,,,,5911.031338,0.53,536.969,green,37
PER83-317,6,0,2,4,80.11,19.89,12,49,12.94,WATER,ETHYL ALCOHOL,6.95,FOENICULUM VULGARE FRUIT OIL ,VITIS VINIFERA OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,MYROCARPUS FRONDOSUS WOOD OIL,RAVENSARA AROMATICA TWIG OIL,PIMENTA OFFICINALIS FRUIT OIL,ETHYL PHENYLACETATE,1-METHYLDECYL ACETATE,METHYLOCTENOL,DIMETHYLBENZYL CARBINOL,"ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",PHENYLPENTANOL,,,,,1.00605613,0.082127031,0.410635155,0.595420975,0.020531758,0.811004431,1.016322009,0.63648449,0.215583456,0.523559823,0.759675037,0.872599705,,,,,5914.558933,0.6,536.4,green,47
PER89-496,2,0,0,0,80.08,19.92,2,7,12.95,WATER,ETHYL ALCOHOL,6.97,PINUS PALUSTRIS TWIG LEAF OIL,THUJA OCCIDENTALIS STEM OIL,,,,,,,,,,,,,,,0.593191489,6.376808511,,,,,,,,,,,,,,,5917.51125,0.49,536.0855,green,50
PER30-468,6,0,0,1,80.05,19.95,7,9,12.97,WATER,ETHYL ALCOHOL,6.98,THUJOPSIS DOLABRATA LEAF OIL,IRIS PALLIDA ROOT OIL,THYMUS SERPILLUM OIL,FOENICULUM VULGARE FRUIT OIL ,ORMENIS MULTICAULIS FLOWER OIL,JUNIPERUS MEXICANA WOOD OIL,"2-HEXYL-1,3-DIOXANOL",,,,,,,,,,0.073473684,1.665403509,1.910315789,1.714385965,1.249052632,0.195929825,0.171438596,,,,,,,,,,5923.67033,0.6,535.894835,green,45
PER11-437,5,0,0,0,80.04,19.96,5,37,12.97,WATER,ETHYL ALCOHOL,6.99,VERBENA OFFICINALIS LEAF RECTIFIED OIL,VITIS VINIFERA OIL,ARTEMISIA HERBA-ALBA HERB OIL,EUCALYPTUS SPECIES LEAF OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,,,,,,,,,,,,2.125990783,1.481751152,1.803870968,1.2240553,0.354331797,,,,,,,,,,,,5932.18815,0.52,535.79,green,32
PER9-319,3,0,2,3,80,20,8,9,13,WATER,ETHYL ALCOHOL,7,CITRUS PARADISI M. PEEL OIL EXPRESSED,CITRUS AURANTIUM LEAF OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,LAURYL ACETATE,ETHYL LACTATE,TRIMETHYL-2-CYCLOHEXENOL,2-O-CRESYLETHANOL,P-CRESOL,,,,,,,,,1.014492754,0.223188406,1.988405797,1.562318841,0.507246377,0.182608696,1.156521739,0.365217391,,,,,,,,,5939.407,0.58,535.4802942,green,71
PER2-238,6,2,0,4,80.02,19.98,12,60,12.98,WATER,ETHYL ALCOHOL,7,EUCALYPTUS SPECIES LEAF OIL,CITRUS NOBILIS LEAF OIL,THYMUS SERPILLUM OIL,MYROCARPUS FRONDOSUS WOOD OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,"2,6-DIMETHYL-4-HEPTANONE",PENTAMETHYL-CYCLOPENT-1-ENYL METHYL KETONE,GUAIACOL,TETRAMETHYL-HEXADECATETRAEN-3-OL,TRIMETHYLTRICYCLODODECANOL,2-O-CRESYLETHANOL,,,,,0.34038055,0.577167019,0.310782241,0.177589852,0.99154334,0.192389006,1.450317125,0.207188161,1.021141649,0.873150106,0.473572939,0.384778013,,,,,5939.966,0.63,535.4232788,green,42
PER53-78,2,3,2,4,79.89,20.11,11,13,13.06,WATER,ETHYL ALCOHOL,7.05,CITRUS NOBILIS LEAF OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,CYCLOHEXYL CYCLOPENTENEACETATE,METHYL CYCLOPENTYLIDENEACETATE,DIHYDROCARVONE,3-BUTENYL PHENYL KETONE,3-BUTYL-4-METHYLPHENYL METHYL KETONE,"ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,2-O-CRESYLETHANOL,CARVACROL,,,,,,0.303356282,0.546041308,1.055679862,0.582444062,0.800860585,0.509638554,0.885800344,0.606712565,0.630981067,0.75232358,0.37616179,,,,,,5943.3,0.44,535.3065,green,37
PER100-603,7,2,0,2,79.87,20.13,11,18,13.07,WATER,ETHYL ALCOHOL,7.06,PINUS PALUSTRIS TWIG LEAF OIL,FOENICULUM VULGARE VULGARE FRUIT OIL,ORMENIS MULTICAULIS FLOWER OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,LAVANDULA SPICA HERB OIL,CYMBOPOGON NARDUS HERB OIL,STYRAX TONKINENSIS RESIN OIL,ETHYL PROPYL KETONE,CARVONE,3-ETHYLPHENOL,FARNESOL,,,,,,1.359378882,0.087701863,0.058467909,1.403229814,1.140124224,0.52621118,1.447080745,0.496977226,0.029233954,0.116935818,0.394658385,,,,,,5945.573443,0.75,535.2929578,green,93
PER7-191,2,3,0,1,79.82,20.18,6,72,13.09,WATER,ETHYL ALCOHOL,7.09,SANTALUM SPICATA WOOD OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,4-METHYL-4-PHENYL-2-PENTANONE,DIMETHYLCYCLOHEXYL METHYL KETONE,"3,4-DIHYDRO-7-METHYLNAPHTHALENONE","6,8-DIMETHYL-2-NONANOL",,,,,,,,,,,1.787563739,0.682889518,1.968328612,0.863654391,0.522209632,1.265354108,,,,,,,,,,,5950.43925,0.71,535.2346563,green,21
PER93-398,6,2,2,0,79.79,20.21,10,17,13.11,WATER,ETHYL ALCOHOL,7.1,BAROSMA BETULINA LEAF OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,LAVANDULA SPICA HERB OIL,STYRAX TONKINENSIS RESIN OIL,MYROCARPUS FRONDOSUS WOOD OIL,"3,5-DIMETHYLCYCLOHEXYLMETHYL ACETATE",M-CRESYL ACETATE,GAMMA-CAPROLACTONE,1-ACETONAPHTHONE,,,,,,,0.390669856,1.392822967,1.138038278,1.222966507,0.424641148,1.00215311,0.186842105,0.611483254,0.492583732,0.237799043,,,,,,,5953.36,0.77,535.0893312,green,40
PER46-110,3,3,1,0,79.79,20.21,7,20,13.11,WATER,ETHYL ALCOHOL,7.1,VITIS VINIFERA OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,ANETHUM SOWA SEED OIL,ETHYL LACTATE,DIHYDROCARVONE,"3,4-DIHYDRO-6-METHYLNAPHTHALENONE",1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,,,,,,,,,,1.368106312,0.566112957,1.462458472,0.02358804,0.731229236,1.438870432,1.509634551,,,,,,,,,,5954.7789,0.6,534.917,green,27
PER91-340,7,0,2,2,79.69,20.31,11,73,13.17,WATER,ETHYL ALCOHOL,7.14,STYRAX TONKINENSIS RESIN OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,CYMBOPOGON NARDUS HERB OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,BAROSMA BETULINA LEAF OIL,LEVISTICUM OFFICINALE LEAF OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,9-DECENYL ACETATE,P-ANISYL PHENYLACETATE,CYCLOHEXYLPROPANOL,2-DECENOL,,,,,,0.139317073,0.592097561,0.766243902,0.069658537,0.917170732,0.545658537,0.963609756,0.998439024,0.986829268,0.53404878,0.626926829,,,,,,5955.68,0.48,534.7373788,green,44
PER9-610,7,2,2,2,79.69,20.31,13,87,13.17,WATER,ETHYL ALCOHOL,7.14,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,ARTEMISIA HERBA-ALBA HERB OIL,COMMIPHORA SCHIMPERI GUM OIL,THUJA OCCIDENTALIS STEM OIL,PIMENTA OFFICINALIS FRUIT OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,ISOTRIDECYL ACETATE,DIMETHYL-5-HEXENYL ACETATE,ETHYL PROPYL KETONE,4-METHYLPENT-3-EN-2-ONE,2-METHYLFURAN-3-THIOL,4-METHYLPENTAN-2-OL,,,,0.660871143,0.194373866,1.088493648,1.19215971,0.051833031,0.401705989,0.712704174,1.153284936,0.492413793,0.790453721,0.012958258,0.207332123,0.181415608,,,,5957.75755,0.62,534.5517571,green,26
PER58-293,6,3,1,0,79.68,20.32,10,21,13.17,WATER,ETHYL ALCOHOL,7.15,TRIGONELLA FOENUM-GRAECUM SEED OIL,RAVENSARA AROMATICA TWIG OIL,THYMUS SERPILLUM OIL,LAVANDULA SPICA HERB OIL,STYRAX TONKINENSIS RESIN OIL,COMMIPHORA MYRRHA GUM OIL,OCTYL ACETATE,TRANS-5-OCTENONE,4-METHYLPENT-3-EN-2-ONE,"3,4-DIHYDRO-8-METHYLNAPHTHALENONE",,,,,,,0.201626898,0.124078091,1.287310195,0.480802603,0.946095445,0.837527115,0.418763557,0.790997831,0.759978308,1.302819957,,,,,,,5968.406486,0.49,534.140375,green,34
